pair,column,n,mean,std,min,max,range,median,nonzero_ratio,invalid_n,zero_n,nearzero_ratio,unexplained_zero_n,invalid_nonzero_n,valid_n,valid_mean,valid_std,valid_min,valid_max,valid_range,valid_median,valid_nonzero_ratio,pseudo_stable,strong_segment_ratio
rh / Tlog_degC,rh__Tlog_degC__correlation,267,-0.720400423065311,0.310639070267473,-0.986144306766724,0.596852498080786,1.58299680484751,-0.838348076181241,1,0,0,0,0,0,267,-0.720400423065311,0.310639070267473,-0.986144306766724,0.596852498080786,1.58299680484751,-0.838348076181241,1,False,0.378277153558052
VPdef_mbar / rho_g_m_3,VPdef_mbar__rho_g_m_3__correlation,267,-0.754574855660909,0.294031265761812,-0.994109337082037,0.550081798965219,1.54419113604726,-0.884891366171194,1,0,0,0,0,0,267,-0.754574855660909,0.294031265761812,-0.994109337082037,0.550081798965219,1.54419113604726,-0.884891366171194,1,False,0.464419475655431
rh / Tpot_K,rh__Tpot_K__correlation,267,-0.752061163069278,0.289417578851635,-0.996578683781391,0.506388888338861,1.50296757212025,-0.877260168836201,1,0,0,0,0,0,267,-0.752061163069278,0.289417578851635,-0.996578683781391,0.506388888338861,1.50296757212025,-0.877260168836201,1,False,0.426966292134831
T_degC / rh,T_degC__rh__correlation,267,-0.762563687955546,0.280990449776261,-0.996347504558843,0.546750228885668,1.54309773344451,-0.88389132346852,1,0,0,0,0,0,267,-0.762563687955546,0.280990449776261,-0.996347504558843,0.546750228885668,1.54309773344451,-0.88389132346852,1,False,0.456928838951311
VPmax_mbar / rh,VPmax_mbar__rh__correlation,267,-0.761479773282045,0.280417108922719,-0.99538070079293,0.539400378033895,1.53478107882682,-0.888307812609247,1,0,0,0,0,0,267,-0.761479773282045,0.280417108922719,-0.99538070079293,0.539400378033895,1.53478107882682,-0.888307812609247,1,False,0.460674157303371
VPdef_mbar / Tlog_degC,VPdef_mbar__Tlog_degC__correlation,267,0.786016110011513,0.260100149480601,-0.445132333152052,0.988842708370787,1.43397504152284,0.887868631666897,1,0,0,0,0,0,267,0.786016110011513,0.260100149480601,-0.445132333152052,0.988842708370787,1.43397504152284,0.887868631666897,1,False,0.471910112359551
VPdef_mbar / Tpot_K,VPdef_mbar__Tpot_K__correlation,267,0.822615431898273,0.227487475171553,-0.372972032464469,0.995974945044786,1.36894697750926,0.918781604138342,1,0,0,0,0,0,267,0.822615431898273,0.227487475171553,-0.372972032464469,0.995974945044786,1.36894697750926,0.918781604138342,1,False,0.569288389513109
Tlog_degC / rho_g_m_3,Tlog_degC__rho_g_m_3__correlation,267,-0.845744956282668,0.224265190716162,-0.99335882681631,0.714699915161451,1.70805874197776,-0.934967228439624,1,0,0,0,0,0,267,-0.845744956282668,0.224265190716162,-0.99335882681631,0.714699915161451,1.70805874197776,-0.934967228439624,1,False,0.629213483146067
VPmax_mbar / VPdef_mbar,VPmax_mbar__VPdef_mbar__correlation,267,0.839834250286013,0.221891386010504,-0.343733010994209,0.998613668812322,1.34234667980653,0.9346984312059,1,0,0,0,0,0,267,0.839834250286013,0.221891386010504,-0.343733010994209,0.998613668812322,1.34234667980653,0.9346984312059,1,False,0.602996254681648
T_degC / VPdef_mbar,T_degC__VPdef_mbar__correlation,267,0.832344788344987,0.219286505315185,-0.351684623642909,0.996079355798969,1.34776397944188,0.923135243364907,1,0,0,0,0,0,267,0.832344788344987,0.219286505315185,-0.351684623642909,0.996079355798969,1.34776397944188,0.923135243364907,1,False,0.573033707865168
T_degC / rho_g_m_3,T_degC__rho_g_m_3__correlation,267,-0.935049566512173,0.152686404640465,-0.999750206199052,0.670441361134521,1.67019156733357,-0.984374754182022,1,0,0,0,0,0,267,-0.935049566512173,0.152686404640465,-0.999750206199052,0.670441361134521,1.67019156733357,-0.984374754182022,1,False,0.831460674157303
VPmax_mbar / rho_g_m_3,VPmax_mbar__rho_g_m_3__correlation,267,-0.932226941067297,0.151787015390317,-0.998820655308242,0.668623986920262,1.6674446422285,-0.980758684255048,1,0,0,0,0,0,267,-0.932226941067297,0.151787015390317,-0.998820655308242,0.668623986920262,1.6674446422285,-0.980758684255048,1,False,0.831460674157303
Tpot_K / Tlog_degC,Tpot_K__Tlog_degC__correlation,267,0.903660580104782,0.131348499245866,0.205438142157882,0.992269621664224,0.786831479506341,0.951324571741907,1,0,0,0,0,0,267,0.903660580104782,0.131348499245866,0.205438142157882,0.992269621664224,0.786831479506341,0.951324571741907,1,False,0.737827715355805
T_degC / Tlog_degC,T_degC__Tlog_degC__correlation,267,0.917173937984619,0.10783912260412,0.226152928904128,0.992901022365057,0.766748093460929,0.954847771033142,1,0,0,0,0,0,267,0.917173937984619,0.10783912260412,0.226152928904128,0.992901022365057,0.766748093460929,0.954847771033142,1,False,0.764044943820225
VPmax_mbar / Tlog_degC,VPmax_mbar__Tlog_degC__correlation,267,0.917489985313725,0.107710910117112,0.224195566436938,0.994216436145837,0.770020869708899,0.95564241401051,1,0,0,0,0,0,267,0.917489985313725,0.107710910117112,0.224195566436938,0.994216436145837,0.770020869708899,0.95564241401051,1,False,0.764044943820225
