pair,column,n,mean,std,min,max,range,median,nonzero_ratio,invalid_n,zero_n,nearzero_ratio,unexplained_zero_n,invalid_nonzero_n,valid_n,valid_mean,valid_std,valid_min,valid_max,valid_range,valid_median,valid_nonzero_ratio,pseudo_stable,strong_segment_ratio
SWDR_W_m / rain_mm,SWDR_W_m__rain_mm__correlation,267,-0.021754462533271,0.0945418534577658,-0.380528906594012,0.695012290053105,1.07554119664712,0,0.456928838951311,145,145,0.543071161048689,0,0,122,-0.0476101761998637,0.135676136823689,-0.380528906594012,0.695012290053105,1.07554119664712,-0.0593775630720089,1,True,0
max_PAR_mol_m_s / rain_mm,max_PAR_mol_m_s__rain_mm__correlation,267,-0.019101051156216,0.0969292605726701,-0.353800777667557,0.73506599279946,1.08886677046702,0,0.456928838951311,145,145,0.543071161048689,0,0,122,-0.041803120153358,0.140346818966494,-0.353800777667557,0.73506599279946,1.08886677046702,-0.0593303877918177,1,True,0
PAR_mol_m_s / rain_mm,PAR_mol_m_s__rain_mm__correlation,267,-0.0202588764261969,0.0972420392207459,-0.387507613949304,0.732691508175628,1.12019912212493,0,0.456928838951311,145,145,0.543071161048689,0,0,122,-0.0443370492278244,0.140396665002919,-0.387507613949304,0.732691508175628,1.12019912212493,-0.0599366892398894,1,True,0
VPmax_mbar / rain_mm,VPmax_mbar__rain_mm__correlation,267,-0.0247633492970767,0.106458670438924,-0.579713329152667,0.424735687119331,1.004449016272,0,0.456928838951311,145,145,0.543071161048689,0,0,122,-0.0541951988714712,0.152665013860748,-0.579713329152667,0.424735687119331,1.004449016272,-0.0225490501393951,1,True,0
rain_mm / rho_g_m_3,rain_mm__rho_g_m_3__correlation,267,0.0046235028068447,0.107286115556745,-0.588838853839012,0.413026100888847,1.00186495472786,0,0.456928838951311,145,145,0.543071161048689,0,0,122,0.0101186495854716,0.158894918095449,-0.588838853839012,0.413026100888847,1.00186495472786,-0.00798266982397165,1,True,0
T_degC / rain_mm,T_degC__rain_mm__correlation,267,-0.024181714609497,0.107780382642752,-0.586590816734203,0.424009856211295,1.0106006729455,0,0.456928838951311,145,145,0.543071161048689,0,0,122,-0.0529222770552106,0.154931457565358,-0.586590816734203,0.424009856211295,1.0106006729455,-0.019028434498496,1,True,0
rain_mm / Tlog_degC,rain_mm__Tlog_degC__correlation,267,0.000418445957760601,0.108599010191767,-0.448125654479685,0.472789849093108,0.920915503572793,0,0.456928838951311,145,145,0.543071161048689,0,0,122,0.000915779268213773,0.16101641539673,-0.448125654479685,0.472789849093108,0.920915503572793,0.0182601570280995,1,True,0
rain_mm / Tpot_K,rain_mm__Tpot_K__correlation,267,-0.0189990672101226,0.10860582111769,-0.499184857288378,0.435616623781865,0.934801481070243,0,0.456928838951311,145,145,0.543071161048689,0,0,122,-0.0415799257795305,0.158061150777633,-0.499184857288378,0.435616623781865,0.934801481070243,-0.0120254966919481,1,True,0
OT / rain_mm,OT__rain_mm__correlation,267,-0.0130848207048401,0.111826633930945,-0.635420992278278,0.487301686852178,1.12272267913046,0,0.456928838951311,145,145,0.543071161048689,0,0,122,-0.0286364518704288,0.164443721424342,-0.635420992278278,0.487301686852178,1.12272267913046,-0.0448054954191253,1,True,0
wd_deg / rain_mm,wd_deg__rain_mm__correlation,267,0.0132186531450336,0.112027071016641,-0.356321122153638,0.54218553050589,0.898506652659528,0,0.456928838951311,145,145,0.543071161048689,0,0,122,0.028929347456754,0.164715336161398,-0.356321122153638,0.54218553050589,0.898506652659528,0.0273072870294966,1,True,0
rain_mm / wv_m_s,rain_mm__wv_m_s__correlation,267,0.0142240431204428,0.122175755548094,-0.592797815301082,0.59422921342571,1.18702702872679,0,0.456928838951311,145,145,0.543071161048689,0,0,122,0.0311296681406412,0.179677280540938,-0.592797815301082,0.59422921342571,1.18702702872679,0.0100083471071507,1,True,0
rain_mm / VPdef_mbar,rain_mm__VPdef_mbar__correlation,267,-0.0617147538699998,0.122687037259806,-0.593135903134704,0.272799056095274,0.865934959229978,0,0.456928838951311,145,145,0.543071161048689,0,0,122,-0.13506425642041,0.151990096163531,-0.593135903134704,0.272799056095274,0.865934959229978,-0.137381362930573,1,True,0
rain_mm / max_wv_m_s,rain_mm__max_wv_m_s__correlation,267,0.0228884719542117,0.125011023628386,-0.525137918766354,0.597305436447454,1.12244335521381,0,0.456928838951311,145,145,0.543071161048689,0,0,122,0.05009198370307,0.181607523504704,-0.525137918766354,0.597305436447454,1.12244335521381,0.033347318194275,1,True,0
Tdew_degC / rain_mm,Tdew_degC__rain_mm__correlation,267,0.0513881049920736,0.12582079254953,-0.287075407496992,0.710533306154848,0.99760871365184,0,0.456928838951311,145,145,0.543071161048689,0,0,122,0.112464131417079,0.166961437445368,-0.287075407496992,0.710533306154848,0.99760871365184,0.122767455686701,1,True,0
VPact_mbar / rain_mm,VPact_mbar__rain_mm__correlation,267,0.0520101277860998,0.127812091313682,-0.294306845764553,0.726560982048662,1.02086782781321,0,0.456928838951311,145,145,0.543071161048689,0,0,122,0.113825443597448,0.169757886944956,-0.294306845764553,0.726560982048662,1.02086782781321,0.121103767644951,1,True,0
H2OC_mmol_mol / rain_mm,H2OC_mmol_mol__rain_mm__correlation,267,0.0525372874569195,0.128212960936929,-0.290028414701753,0.723247102216788,1.01327551691854,0,0.456928838951311,145,145,0.543071161048689,0,0,122,0.11497914549998,0.169996534990938,-0.290028414701753,0.723247102216788,1.01327551691854,0.120964323295848,1,True,0
rain_mm / sh_g_kg,rain_mm__sh_g_kg__correlation,267,0.0525637855484656,0.12828557465061,-0.290235740176741,0.723534629269748,1.01377036944649,0,0.456928838951311,145,145,0.543071161048689,0,0,122,0.115037137224921,0.170095452294659,-0.290235740176741,0.723534629269748,1.01377036944649,0.120737207060841,1,True,0
SWDR_W_m / raining_s,SWDR_W_m__raining_s__correlation,267,-0.0329051201082251,0.131203621194951,-0.437255619566214,0.829427688887295,1.26668330845351,0,0.569288389513109,115,115,0.430711610486891,0,0,152,-0.0578004412427375,0.169929977671768,-0.437255619566214,0.829427688887295,1.26668330845351,-0.0721361655398259,1,True,0
rain_mm / p_mbar,rain_mm__p_mbar__correlation,267,-0.0361965025500452,0.131960099124188,-0.709690547924032,0.59273480173256,1.30242534965659,0,0.456928838951311,145,145,0.543071161048689,0,0,122,-0.0792169359087055,0.186667444188622,-0.709690547924032,0.59273480173256,1.30242534965659,-0.0632325263598496,1,True,0
rain_mm / rh,rain_mm__rh__correlation,267,0.0680914527285778,0.132309310953539,-0.272251431456809,0.660537122275575,0.932788553732384,0,0.456928838951311,145,145,0.543071161048689,0,0,122,0.149019818676478,0.162247107484325,-0.272251431456809,0.660537122275575,0.932788553732384,0.143436622843902,1,True,0
max_PAR_mol_m_s / raining_s,max_PAR_mol_m_s__raining_s__correlation,267,-0.0291359412739502,0.133176733992992,-0.410505082865878,0.861161296339306,1.27166637920518,0,0.569288389513109,115,115,0.430711610486891,0,0,152,-0.0511795810535836,0.173516479990502,-0.410505082865878,0.861161296339306,1.27166637920518,-0.0695009034329118,1,True,0
PAR_mol_m_s / raining_s,PAR_mol_m_s__raining_s__correlation,267,-0.0305113486542669,0.134539383268026,-0.444746376044062,0.856278318257227,1.30102469430129,0,0.569288389513109,115,115,0.430711610486891,0,0,152,-0.0535955927019031,0.175045281827162,-0.444746376044062,0.856278318257227,1.30102469430129,-0.0694703487904517,1,True,0
OT / raining_s,OT__raining_s__correlation,267,-0.00486456119304015,0.139718711972804,-0.517232384847692,0.532500661252062,1.04973304609975,0,0.569288389513109,115,115,0.430711610486891,0,0,152,-0.00854498577987974,0.185356117593417,-0.517232384847692,0.532500661252062,1.04973304609975,-0.0366486438693828,1,True,0
raining_s / wv_m_s,raining_s__wv_m_s__correlation,267,-0.0039911022447612,0.142494738857031,-0.637696769907697,0.630247175071661,1.26794394497936,0,0.569288389513109,115,115,0.430711610486891,0,0,152,-0.00701068617994236,0.189069627282968,-0.637696769907697,0.630247175071661,1.26794394497936,-0.01841281910956,1,True,0
raining_s / max_wv_m_s,raining_s__max_wv_m_s__correlation,267,0.00644371263401375,0.143218952786977,-0.597505194367597,0.629314845962057,1.22682004032965,0,0.569288389513109,115,115,0.430711610486891,0,0,152,0.0113188899558005,0.189941019109848,-0.597505194367597,0.629314845962057,1.22682004032965,0.0126723087068074,1,True,0
raining_s / rho_g_m_3,raining_s__rho_g_m_3__correlation,267,0.00713677368324748,0.143940923160879,-0.675350644766568,0.630497144153212,1.30584778891978,0,0.569288389513109,115,115,0.430711610486891,0,0,152,0.0125363064041255,0.190867005116797,-0.675350644766568,0.630497144153212,1.30584778891978,0.0045051946247222,1,True,0
raining_s / Tlog_degC,raining_s__Tlog_degC__correlation,267,0.0038606981064722,0.145262038779448,-0.618925799657661,0.58061596291327,1.19954176257093,0,0.569288389513109,115,115,0.430711610486891,0,0,152,0.0067816210159742,0.192747149851262,-0.618925799657661,0.58061596291327,1.19954176257093,0.010416171371077,1,True,0
raining_s / Tpot_K,raining_s__Tpot_K__correlation,267,-0.0281385514557968,0.148704338157927,-0.660666201050845,0.658948971535869,1.31961517258671,0,0.569288389513109,115,115,0.430711610486891,0,0,152,-0.0494275870966957,0.194665757845468,-0.660666201050845,0.658948971535869,1.31961517258671,-0.0270183001629776,1,True,0
VPmax_mbar / raining_s,VPmax_mbar__raining_s__correlation,267,-0.0356527217879282,0.150198022112162,-0.667610435383673,0.659588865013985,1.32719930039766,0,0.569288389513109,115,115,0.430711610486891,0,0,152,-0.062626820509058,0.195038435424453,-0.667610435383673,0.659588865013985,1.32719930039766,-0.0391723011099854,1,True,0
raining_s / T_degC,raining_s__T_degC__correlation,267,-0.035178932438924,0.151325464005165,-0.66620804420199,0.65416193344043,1.32036997764242,0,0.569288389513109,115,115,0.430711610486891,0,0,152,-0.06179457211311,0.196681822542067,-0.66620804420199,0.65416193344043,1.32036997764242,-0.0335647420199092,1,True,0
raining_s / wd_deg,raining_s__wd_deg__correlation,267,-0.0024607832416562,0.1572619388716,-0.487665198440727,0.684450956258337,1.17211615469906,0,0.569288389513109,115,115,0.430711610486891,0,0,152,-0.0043225600363303,0.208706314642454,-0.487665198440727,0.684450956258337,1.17211615469906,-0.0035084988575757,1,True,0
raining_s / VPdef_mbar,raining_s__VPdef_mbar__correlation,267,-0.0961401722877078,0.169114502540591,-0.702579522968622,0.30672962670888,1.0093091496775,0,0.569288389513109,115,115,0.430711610486891,0,0,152,-0.16887780263696,0.194976496497896,-0.702579522968622,0.30672962670888,1.0093091496775,-0.139296676041954,1,True,0
Tdew_degC / raining_s,Tdew_degC__raining_s__correlation,267,0.0857596851798395,0.169192154053244,-0.496206364950579,0.775266882161153,1.27147324711173,0,0.569288389513109,115,115,0.430711610486891,0,0,152,0.15064365751985,0.201464989715026,-0.496206364950579,0.775266882161153,1.27147324711173,0.140677856804204,1,True,0
raining_s / p_mbar,raining_s__p_mbar__correlation,267,-0.048990052943575,0.171500222733083,-0.727854030332951,0.650323802279923,1.37817783261287,0,0.569288389513109,115,115,0.430711610486891,0,0,152,-0.0860548956311481,0.220457950879984,-0.727854030332951,0.650323802279923,1.37817783261287,-0.0608758012433461,1,True,0
VPact_mbar / raining_s,VPact_mbar__raining_s__correlation,267,0.0865882698478941,0.172037245440109,-0.494535916270949,0.791669924106863,1.28620584037781,0,0.569288389513109,115,115,0.430711610486891,0,0,152,0.152099131903867,0.20520063510718,-0.494535916270949,0.791669924106863,1.28620584037781,0.136600737121273,1,True,0
H2OC_mmol_mol / raining_s,H2OC_mmol_mol__raining_s__correlation,267,0.0872303059972635,0.172554094710523,-0.490641248866098,0.787948542151509,1.27858979101761,0,0.569288389513109,115,115,0.430711610486891,0,0,152,0.153226919087298,0.205600944100677,-0.490641248866098,0.787948542151509,1.27858979101761,0.141104905155062,1,True,0
raining_s / sh_g_kg,raining_s__sh_g_kg__correlation,267,0.0872569002784801,0.172609903474851,-0.490371127371505,0.788349605515393,1.2787207328869,0,0.569288389513109,115,115,0.430711610486891,0,0,152,0.153273634041804,0.205668359704858,-0.490371127371505,0.788349605515393,1.2787207328869,0.140469239568345,1,True,0
raining_s / rh,raining_s__rh__correlation,267,0.106500726546462,0.179767358321544,-0.290242649464108,0.723118011906314,1.01336066137042,0,0.569288389513109,115,115,0.430711610486891,0,0,152,0.187076934130956,0.204338639974558,-0.290242649464108,0.723118011906314,1.01336066137042,0.169366206645996,1,True,0
raining_s / rain_mm,raining_s__rain_mm__correlation,267,0.264928099389897,0.337448133682501,-0.0218647380073076,0.991872447210494,1.0137371852178,0,0.441947565543071,149,149,0.558052434456929,0,0,118,0.59945595370426,0.237987544964668,-0.0218647380073076,0.991872447210494,1.0137371852178,0.644573800730526,1,True,0.0508474576271186
