feature1,feature2,r,abs_r,exact_equal
SWDR_W_m__max,SWDR_W_m__peak_to_peak,1,1,True
raining_s__max,raining_s__peak_to_peak,1,1,True
raining_s__q25,rain_mm__q25,1,1,False
PAR_mol_m_s__max,PAR_mol_m_s__peak_to_peak,1,1,True
rain_mm__max,rain_mm__peak_to_peak,1,1,True
max_PAR_mol_m_s__max,max_PAR_mol_m_s__peak_to_peak,1,1,True
p_mbar__mean,p_mbar__rms,0.999999885385768,0.999999885385768,False
H2OC_mmol_mol__rms,sh_g_kg__rms,0.99999843258969,0.99999843258969,False
H2OC_mmol_mol__mean,sh_g_kg__mean,0.999998417897115,0.999998417897115,False
rho_g_m_3__mean,rho_g_m_3__rms,0.999998314955109,0.999998314955109,False
Tpot_K__mean,Tpot_K__rms,0.999998114460053,0.999998114460053,False
H2OC_mmol_mol__q75,sh_g_kg__q75,0.999997856655953,0.999997856655953,False
H2OC_mmol_mol__median,sh_g_kg__median,0.999997743013183,0.999997743013183,False
H2OC_mmol_mol__max,sh_g_kg__max,0.999997567101868,0.999997567101868,False
H2OC_mmol_mol__q25,sh_g_kg__q25,0.99999742237743,0.99999742237743,False
H2OC_mmol_mol__min,sh_g_kg__min,0.999997357255737,0.999997357255737,False
H2OC_mmol_mol__slope,sh_g_kg__slope,0.999996212594728,0.999996212594728,False
H2OC_mmol_mol__skew,sh_g_kg__skew,0.999993391267696,0.999993391267696,False
H2OC_mmol_mol__diff_mean,sh_g_kg__diff_mean,0.999992962257406,0.999992962257406,False
H2OC_mmol_mol__kurtosis,sh_g_kg__kurtosis,0.999989926785968,0.999989926785968,False
H2OC_mmol_mol__std,sh_g_kg__std,0.999986031987248,0.999986031987248,False
H2OC_mmol_mol__crest_factor,sh_g_kg__crest_factor,0.999980519462883,0.999980519462883,False
H2OC_mmol_mol__peak_to_peak,sh_g_kg__peak_to_peak,0.999978981078189,0.999978981078189,False
H2OC_mmol_mol__diff_std,sh_g_kg__diff_std,0.999975628139666,0.999975628139666,False
H2OC_mmol_mol__iqr,sh_g_kg__iqr,0.999969500649285,0.999969500649285,False
SWDR_W_m__q75,SWDR_W_m__iqr,0.999952276920989,0.999952276920989,False
VPact_mbar__mean,VPact_mbar__rms,0.999921777782145,0.999921777782145,False
H2OC_mmol_mol__mean,H2OC_mmol_mol__rms,0.999920452303211,0.999920452303211,False
sh_g_kg__mean,sh_g_kg__rms,0.999919948352113,0.999919948352113,False
H2OC_mmol_mol__mean,sh_g_kg__rms,0.999919474398412,0.999919474398412,False
H2OC_mmol_mol__rms,sh_g_kg__mean,0.999917778688801,0.999917778688801,False
max_PAR_mol_m_s__q75,max_PAR_mol_m_s__iqr,0.999910202880515,0.999910202880515,False
PAR_mol_m_s__q75,PAR_mol_m_s__iqr,0.999901859815449,0.999901859815449,False
H2OC_mmol_mol__diff_std,VPact_mbar__diff_std,0.999897254423439,0.999897254423439,False
VPact_mbar__diff_std,sh_g_kg__diff_std,0.999870046116689,0.999870046116689,False
H2OC_mmol_mol__q25,VPact_mbar__q25,0.999829584122474,0.999829584122474,False
VPact_mbar__q25,sh_g_kg__q25,0.999827432577945,0.999827432577945,False
H2OC_mmol_mol__min,VPact_mbar__min,0.999825002749398,0.999825002749398,False
VPact_mbar__min,sh_g_kg__min,0.999823575760127,0.999823575760127,False
H2OC_mmol_mol__median,VPact_mbar__median,0.999820404268234,0.999820404268234,False
VPact_mbar__median,sh_g_kg__median,0.999818536953817,0.999818536953817,False
H2OC_mmol_mol__mean,VPact_mbar__mean,0.999818069271014,0.999818069271014,False
VPact_mbar__mean,sh_g_kg__mean,0.999817260385327,0.999817260385327,False
H2OC_mmol_mol__rms,VPact_mbar__rms,0.999815963518083,0.999815963518083,False
VPact_mbar__rms,sh_g_kg__rms,0.999815181191358,0.999815181191358,False
H2OC_mmol_mol__q75,VPact_mbar__q75,0.999799140213985,0.999799140213985,False
VPact_mbar__q75,sh_g_kg__q75,0.999797306532946,0.999797306532946,False
T_degC__diff_std,Tpot_K__diff_std,0.999794542040344,0.999794542040344,False
H2OC_mmol_mol__max,VPact_mbar__max,0.99976830453791,0.99976830453791,False
VPact_mbar__max,sh_g_kg__max,0.999768115788501,0.999768115788501,False
H2OC_mmol_mol__mean,VPact_mbar__rms,0.999744287182983,0.999744287182983,False
VPact_mbar__rms,sh_g_kg__mean,0.99974243585497,0.99974243585497,False
H2OC_mmol_mol__rms,VPact_mbar__mean,0.999732048188604,0.999732048188604,False
VPact_mbar__mean,sh_g_kg__rms,0.999731812015289,0.999731812015289,False
H2OC_mmol_mol__diff_mean,VPact_mbar__diff_mean,0.999702793809942,0.999702793809942,False
VPact_mbar__diff_mean,sh_g_kg__diff_mean,0.999700534080225,0.999700534080225,False
VPact_mbar__slope,sh_g_kg__slope,0.999690425737787,0.999690425737787,False
H2OC_mmol_mol__slope,VPact_mbar__slope,0.999687919998683,0.999687919998683,False
OT__mean,OT__rms,0.999649355504635,0.999649355504635,False
VPact_mbar__crest_factor,sh_g_kg__crest_factor,0.999622478055294,0.999622478055294,False
H2OC_mmol_mol__crest_factor,VPact_mbar__crest_factor,0.999618247770905,0.999618247770905,False
Tlog_degC__mean,Tlog_degC__rms,0.99959831035405,0.99959831035405,False
VPact_mbar__std,sh_g_kg__std,0.999546418194197,0.999546418194197,False
