feature1,feature2,r,abs_r,exact_equal
raining_s__q25,rain_mm__q25,1,1,False
H2OC_mmol_mol__mean,sh_g_kg__mean,0.999998417897115,0.999998417897115,False
H2OC_mmol_mol__q75,sh_g_kg__q75,0.999997856655953,0.999997856655953,False
H2OC_mmol_mol__median,sh_g_kg__median,0.999997743013183,0.999997743013183,False
H2OC_mmol_mol__max,sh_g_kg__max,0.999997567101868,0.999997567101868,False
H2OC_mmol_mol__q25,sh_g_kg__q25,0.99999742237743,0.99999742237743,False
H2OC_mmol_mol__min,sh_g_kg__min,0.999997357255737,0.999997357255737,False
H2OC_mmol_mol__slope,sh_g_kg__slope,0.999996212594728,0.999996212594728,False
H2OC_mmol_mol__skew,sh_g_kg__skew,0.999993391267696,0.999993391267696,False
H2OC_mmol_mol__diff_mean,sh_g_kg__diff_mean,0.999992962257406,0.999992962257406,False
H2OC_mmol_mol__kurtosis,sh_g_kg__kurtosis,0.999989926785968,0.999989926785968,False
H2OC_mmol_mol__std,sh_g_kg__std,0.999986031987248,0.999986031987248,False
H2OC_mmol_mol__diff_std,sh_g_kg__diff_std,0.999975628139666,0.999975628139666,False
H2OC_mmol_mol__diff_std,VPact_mbar__diff_std,0.999897254423439,0.999897254423439,False
VPact_mbar__diff_std,sh_g_kg__diff_std,0.999870046116689,0.999870046116689,False
H2OC_mmol_mol__q25,VPact_mbar__q25,0.999829584122474,0.999829584122474,False
VPact_mbar__q25,sh_g_kg__q25,0.999827432577945,0.999827432577945,False
H2OC_mmol_mol__min,VPact_mbar__min,0.999825002749398,0.999825002749398,False
VPact_mbar__min,sh_g_kg__min,0.999823575760127,0.999823575760127,False
H2OC_mmol_mol__median,VPact_mbar__median,0.999820404268234,0.999820404268234,False
VPact_mbar__median,sh_g_kg__median,0.999818536953817,0.999818536953817,False
H2OC_mmol_mol__mean,VPact_mbar__mean,0.999818069271014,0.999818069271014,False
VPact_mbar__mean,sh_g_kg__mean,0.999817260385327,0.999817260385327,False
H2OC_mmol_mol__q75,VPact_mbar__q75,0.999799140213985,0.999799140213985,False
VPact_mbar__q75,sh_g_kg__q75,0.999797306532946,0.999797306532946,False
T_degC__diff_std,Tpot_K__diff_std,0.999794542040344,0.999794542040344,False
H2OC_mmol_mol__max,VPact_mbar__max,0.99976830453791,0.99976830453791,False
VPact_mbar__max,sh_g_kg__max,0.999768115788501,0.999768115788501,False
H2OC_mmol_mol__diff_mean,VPact_mbar__diff_mean,0.999702793809942,0.999702793809942,False
VPact_mbar__diff_mean,sh_g_kg__diff_mean,0.999700534080225,0.999700534080225,False
VPact_mbar__slope,sh_g_kg__slope,0.999690425737787,0.999690425737787,False
H2OC_mmol_mol__slope,VPact_mbar__slope,0.999687919998683,0.999687919998683,False
VPact_mbar__std,sh_g_kg__std,0.999546418194197,0.999546418194197,False
H2OC_mmol_mol__std,VPact_mbar__std,0.999544031156921,0.999544031156921,False
SWDR_W_m__slope,PAR_mol_m_s__slope,0.999512340965354,0.999512340965354,False
SWDR_W_m__median,PAR_mol_m_s__median,0.999292510387553,0.999292510387553,False
SWDR_W_m__mean,PAR_mol_m_s__mean,0.999291283381507,0.999291283381507,False
SWDR_W_m__diff_mean,PAR_mol_m_s__diff_mean,0.999195191687425,0.999195191687425,False
SWDR_W_m__q75,PAR_mol_m_s__q75,0.999125504658457,0.999125504658457,False
H2OC_mmol_mol__kurtosis,VPact_mbar__kurtosis,0.999040378401304,0.999040378401304,False
VPact_mbar__kurtosis,sh_g_kg__kurtosis,0.999017346236455,0.999017346236455,False
SWDR_W_m__std,PAR_mol_m_s__std,0.998810628540624,0.998810628540624,False
VPact_mbar__skew,sh_g_kg__skew,0.998769554922768,0.998769554922768,False
H2OC_mmol_mol__skew,VPact_mbar__skew,0.998759914308024,0.998759914308024,False
SWDR_W_m__diff_std,PAR_mol_m_s__diff_std,0.998670200606693,0.998670200606693,False
max_PAR_mol_m_s__q25,PAR_mol_m_s__q25,0.998076043607613,0.998076043607613,False
VPact_mbar__mean,VPact_mbar__median,0.997986545618023,0.997986545618023,False
H2OC_mmol_mol__mean,H2OC_mmol_mol__median,0.997974035599698,0.997974035599698,False
H2OC_mmol_mol__median,sh_g_kg__mean,0.997969940858714,0.997969940858714,False
H2OC_mmol_mol__mean,sh_g_kg__median,0.997968631211485,0.997968631211485,False
sh_g_kg__mean,sh_g_kg__median,0.997967852574817,0.997967852574817,False
T_degC__std,Tpot_K__std,0.997914773314281,0.997914773314281,False
SWDR_W_m__skew,PAR_mol_m_s__skew,0.997864039804666,0.997864039804666,False
Tdew_degC__mean,Tdew_degC__median,0.997863971668373,0.997863971668373,False
H2OC_mmol_mol__median,VPact_mbar__mean,0.997833765530153,0.997833765530153,False
VPact_mbar__mean,sh_g_kg__median,0.997828950510945,0.997828950510945,False
H2OC_mmol_mol__mean,VPact_mbar__median,0.997771223018356,0.997771223018356,False
VPact_mbar__median,sh_g_kg__mean,0.997767488467128,0.997767488467128,False
p_mbar__mean,p_mbar__median,0.997384717547741,0.997384717547741,False
SWDR_W_m__max,PAR_mol_m_s__max,0.997149236424984,0.997149236424984,False
rho_g_m_3__mean,rho_g_m_3__median,0.996375055983916,0.996375055983916,False
SWDR_W_m__kurtosis,PAR_mol_m_s__kurtosis,0.995932283518319,0.995932283518319,False
Tpot_K__mean,Tpot_K__median,0.995767718235484,0.995767718235484,False
T_degC__mean,T_degC__median,0.99560845508323,0.99560845508323,False
T_degC__q75,Tpot_K__q75,0.995323243924823,0.995323243924823,False
T_degC__max,Tpot_K__max,0.995217558629025,0.995217558629025,False
T_degC__median,Tpot_K__median,0.994342555644202,0.994342555644202,False
VPact_mbar__mean,VPact_mbar__q75,0.994328786926992,0.994328786926992,False
H2OC_mmol_mol__mean,sh_g_kg__q75,0.994322690418734,0.994322690418734,False
T_degC__mean,Tpot_K__mean,0.994313068069932,0.994313068069932,False
sh_g_kg__mean,sh_g_kg__q75,0.994311451252985,0.994311451252985,False
H2OC_mmol_mol__mean,H2OC_mmol_mol__q75,0.994309509256844,0.994309509256844,False
H2OC_mmol_mol__q75,sh_g_kg__mean,0.994295097206597,0.994295097206597,False
T_degC__diff_mean,Tpot_K__diff_mean,0.994210225077937,0.994210225077937,False
VPact_mbar__mean,sh_g_kg__q75,0.99414706349825,0.99414706349825,False
H2OC_mmol_mol__q75,VPact_mbar__mean,0.994133915214871,0.994133915214871,False
H2OC_mmol_mol__mean,VPact_mbar__q75,0.994128494164079,0.994128494164079,False
VPmax_mbar__mean,VPmax_mbar__median,0.994122500614915,0.994122500614915,False
VPact_mbar__q75,sh_g_kg__mean,0.994114805971922,0.994114805971922,False
max_PAR_mol_m_s__median,PAR_mol_m_s__median,0.993894618737984,0.993894618737984,False
Tdew_degC__mean,Tdew_degC__q25,0.993827285488509,0.993827285488509,False
Tlog_degC__mean,Tlog_degC__median,0.993581925035266,0.993581925035266,False
T_degC__q25,Tpot_K__q25,0.99333467401207,0.99333467401207,False
T_degC__min,Tpot_K__min,0.992952030642494,0.992952030642494,False
Tdew_degC__mean,Tdew_degC__q75,0.992590784159598,0.992590784159598,False
VPact_mbar__mean,VPact_mbar__q25,0.992492086991771,0.992492086991771,False
H2OC_mmol_mol__q25,sh_g_kg__mean,0.992438538571802,0.992438538571802,False
H2OC_mmol_mol__mean,H2OC_mmol_mol__q25,0.992422911064313,0.992422911064313,False
sh_g_kg__mean,sh_g_kg__q25,0.992415601859142,0.992415601859142,False
H2OC_mmol_mol__mean,sh_g_kg__q25,0.992396575528988,0.992396575528988,False
SWDR_W_m__median,max_PAR_mol_m_s__median,0.992380998978311,0.992380998978311,False
VPact_mbar__q25,sh_g_kg__mean,0.992352163315518,0.992352163315518,False
H2OC_mmol_mol__mean,VPact_mbar__q25,0.992336174536268,0.992336174536268,False
H2OC_mmol_mol__q25,VPact_mbar__mean,0.992236993652107,0.992236993652107,False
VPact_mbar__mean,sh_g_kg__q25,0.992211706952343,0.992211706952343,False
VPact_mbar__median,VPact_mbar__q75,0.992187554658887,0.992187554658887,False
H2OC_mmol_mol__median,sh_g_kg__q75,0.992175382342781,0.992175382342781,False
sh_g_kg__median,sh_g_kg__q75,0.992165378519553,0.992165378519553,False
H2OC_mmol_mol__median,H2OC_mmol_mol__q75,0.992154765348038,0.992154765348038,False
H2OC_mmol_mol__q75,sh_g_kg__median,0.992141472965943,0.992141472965943,False
H2OC_mmol_mol__median,VPact_mbar__q75,0.992021044192111,0.992021044192111,False
VPact_mbar__q75,sh_g_kg__median,0.992008093054866,0.992008093054866,False
VPact_mbar__median,sh_g_kg__q75,0.991975703967366,0.991975703967366,False
H2OC_mmol_mol__q75,VPact_mbar__median,0.991955411756399,0.991955411756399,False
Tdew_degC__median,Tdew_degC__q25,0.99163399367031,0.99163399367031,False
T_degC__slope,Tpot_K__slope,0.991587461596965,0.991587461596965,False
p_mbar__mean,p_mbar__q25,0.991353577789374,0.991353577789374,False
T_degC__mean,Tpot_K__median,0.991206997811714,0.991206997811714,False
p_mbar__mean,p_mbar__q75,0.990495636851198,0.990495636851198,False
VPmax_mbar__mean,VPmax_mbar__q75,0.990185840135657,0.990185840135657,False
Tdew_degC__skew,VPact_mbar__skew,0.990147616110765,0.990147616110765,False
VPact_mbar__median,VPact_mbar__q25,0.989682321319553,0.989682321319553,False
H2OC_mmol_mol__q25,sh_g_kg__median,0.989607431428935,0.989607431428935,False
H2OC_mmol_mol__median,H2OC_mmol_mol__q25,0.989607190259042,0.989607190259042,False
sh_g_kg__median,sh_g_kg__q25,0.989573968604083,0.989573968604083,False
H2OC_mmol_mol__median,sh_g_kg__q25,0.989570121540342,0.989570121540342,False
