feature,reason
SWDR_W_m__min,constant
SWDR_W_m__iqr,formula_derived
SWDR_W_m__rms,formula_derived
SWDR_W_m__peak_to_peak,formula_derived
SWDR_W_m__crest_factor,formula_derived
Tdew_degC__iqr,formula_derived
Tdew_degC__rms,formula_derived
Tdew_degC__peak_to_peak,formula_derived
Tdew_degC__crest_factor,formula_derived
H2OC_mmol_mol__iqr,formula_derived
H2OC_mmol_mol__rms,formula_derived
H2OC_mmol_mol__peak_to_peak,formula_derived
H2OC_mmol_mol__crest_factor,formula_derived
VPact_mbar__iqr,formula_derived
VPact_mbar__rms,formula_derived
VPact_mbar__peak_to_peak,formula_derived
VPact_mbar__crest_factor,formula_derived
OT__iqr,formula_derived
OT__rms,formula_derived
OT__peak_to_peak,formula_derived
OT__crest_factor,formula_derived
VPmax_mbar__iqr,formula_derived
VPmax_mbar__rms,formula_derived
VPmax_mbar__peak_to_peak,formula_derived
VPmax_mbar__crest_factor,formula_derived
max_PAR_mol_m_s__min,constant
max_PAR_mol_m_s__iqr,formula_derived
max_PAR_mol_m_s__rms,formula_derived
max_PAR_mol_m_s__peak_to_peak,formula_derived
max_PAR_mol_m_s__crest_factor,formula_derived
PAR_mol_m_s__min,constant
PAR_mol_m_s__iqr,formula_derived
PAR_mol_m_s__rms,formula_derived
PAR_mol_m_s__peak_to_peak,formula_derived
PAR_mol_m_s__crest_factor,formula_derived
raining_s__min,constant
raining_s__iqr,formula_derived
raining_s__rms,formula_derived
raining_s__peak_to_peak,formula_derived
raining_s__crest_factor,formula_derived
T_degC__iqr,formula_derived
T_degC__rms,formula_derived
T_degC__peak_to_peak,formula_derived
T_degC__crest_factor,formula_derived
wd_deg__iqr,formula_derived
wd_deg__rms,formula_derived
wd_deg__peak_to_peak,formula_derived
wd_deg__crest_factor,formula_derived
rain_mm__min,constant
rain_mm__iqr,formula_derived
rain_mm__rms,formula_derived
rain_mm__peak_to_peak,formula_derived
rain_mm__crest_factor,formula_derived
VPdef_mbar__iqr,formula_derived
VPdef_mbar__rms,formula_derived
VPdef_mbar__peak_to_peak,formula_derived
VPdef_mbar__crest_factor,formula_derived
max_wv_m_s__iqr,formula_derived
max_wv_m_s__rms,formula_derived
max_wv_m_s__peak_to_peak,formula_derived
max_wv_m_s__crest_factor,formula_derived
sh_g_kg__iqr,formula_derived
sh_g_kg__rms,formula_derived
sh_g_kg__peak_to_peak,formula_derived
sh_g_kg__crest_factor,formula_derived
rh__iqr,formula_derived
rh__rms,formula_derived
rh__peak_to_peak,formula_derived
rh__crest_factor,formula_derived
Tpot_K__iqr,formula_derived
Tpot_K__rms,formula_derived
Tpot_K__peak_to_peak,formula_derived
Tpot_K__crest_factor,formula_derived
p_mbar__iqr,formula_derived
p_mbar__rms,formula_derived
p_mbar__peak_to_peak,formula_derived
p_mbar__crest_factor,formula_derived
wv_m_s__iqr,formula_derived
wv_m_s__rms,formula_derived
wv_m_s__peak_to_peak,formula_derived
wv_m_s__crest_factor,formula_derived
Tlog_degC__iqr,formula_derived
Tlog_degC__rms,formula_derived
Tlog_degC__peak_to_peak,formula_derived
Tlog_degC__crest_factor,formula_derived
rho_g_m_3__iqr,formula_derived
rho_g_m_3__rms,formula_derived
rho_g_m_3__peak_to_peak,formula_derived
rho_g_m_3__crest_factor,formula_derived
