sensor,identity,max_abs_error,verified
SWDR_W_m,iqr,5.6843418860808e-14,True
SWDR_W_m,peak_to_peak,0,True
SWDR_W_m,rms_squared,1.16415321826935e-10,True
SWDR_W_m,crest_factor,8.88178419700125e-16,True
Tdew_degC,iqr,1.77635683940025e-15,True
Tdew_degC,peak_to_peak,1.77635683940025e-15,True
Tdew_degC,rms_squared,1.70530256582424e-13,True
Tdew_degC,crest_factor,1.33226762955019e-15,True
H2OC_mmol_mol,iqr,3.5527136788005e-15,True
H2OC_mmol_mol,peak_to_peak,8.88178419700125e-16,True
H2OC_mmol_mol,rms_squared,2.27373675443232e-13,True
H2OC_mmol_mol,crest_factor,4.44089209850063e-16,True
VPact_mbar,iqr,3.99680288865056e-15,True
VPact_mbar,peak_to_peak,8.88178419700125e-16,True
VPact_mbar,rms_squared,3.41060513164848e-13,True
VPact_mbar,crest_factor,4.44089209850063e-16,True
OT,iqr,1.13686837721616e-13,True
OT,peak_to_peak,1.4210854715202e-14,True
OT,rms_squared,1.74622982740402e-10,True
OT,crest_factor,4.44089209850063e-16,True
VPmax_mbar,iqr,7.105427357601e-15,True
VPmax_mbar,peak_to_peak,3.5527136788005e-15,True
VPmax_mbar,rms_squared,5.6843418860808e-13,True
VPmax_mbar,crest_factor,4.44089209850063e-16,True
max_PAR_mol_m_s,iqr,2.27373675443232e-13,True
max_PAR_mol_m_s,peak_to_peak,0,True
max_PAR_mol_m_s,rms_squared,4.65661287307739e-10,True
max_PAR_mol_m_s,crest_factor,8.88178419700125e-16,True
PAR_mol_m_s,iqr,2.27373675443232e-13,True
PAR_mol_m_s,peak_to_peak,0,True
PAR_mol_m_s,rms_squared,4.65661287307739e-10,True
PAR_mol_m_s,crest_factor,1.33226762955019e-15,True
raining_s,iqr,0,True
raining_s,peak_to_peak,0,True
raining_s,rms_squared,5.82076609134674e-11,True
raining_s,crest_factor,1.77635683940025e-15,True
T_degC,iqr,7.105427357601e-15,True
T_degC,peak_to_peak,1.77635683940025e-15,True
T_degC,rms_squared,4.54747350886464e-13,True
T_degC,crest_factor,6.66133814775094e-16,True
wd_deg,iqr,5.6843418860808e-14,True
wd_deg,peak_to_peak,5.6843418860808e-14,True
wd_deg,rms_squared,7.27595761418343e-11,True
wd_deg,crest_factor,8.88178419700125e-16,True
rain_mm,iqr,0,True
rain_mm,peak_to_peak,0,True
rain_mm,rms_squared,6.66133814775094e-16,True
rain_mm,crest_factor,2.06057393370429e-13,True
VPdef_mbar,iqr,3.5527136788005e-15,True
VPdef_mbar,peak_to_peak,3.5527136788005e-15,True
VPdef_mbar,rms_squared,4.54747350886464e-13,True
VPdef_mbar,crest_factor,5.32907051820075e-15,True
max_wv_m_s,iqr,1.77635683940025e-15,True
max_wv_m_s,peak_to_peak,1.77635683940025e-15,True
max_wv_m_s,rms_squared,5.6843418860808e-14,True
max_wv_m_s,crest_factor,4.44089209850063e-16,True
sh_g_kg,iqr,3.77475828372553e-15,True
sh_g_kg,peak_to_peak,8.88178419700125e-16,True
sh_g_kg,rms_squared,1.13686837721616e-13,True
sh_g_kg,crest_factor,4.44089209850063e-16,True
rh,iqr,1.4210854715202e-14,True
rh,peak_to_peak,7.105427357601e-15,True
rh,rms_squared,7.27595761418343e-12,True
rh,crest_factor,4.44089209850063e-16,True
Tpot_K,iqr,5.72875080706581e-14,True
Tpot_K,peak_to_peak,3.5527136788005e-15,True
Tpot_K,rms_squared,8.73114913702011e-11,True
Tpot_K,crest_factor,4.44089209850063e-16,True
p_mbar,iqr,2.27595720048157e-13,True
p_mbar,peak_to_peak,3.5527136788005e-15,True
p_mbar,rms_squared,8.14907252788544e-10,True
p_mbar,crest_factor,4.44089209850063e-16,True
wv_m_s,iqr,1.77635683940025e-15,True
wv_m_s,peak_to_peak,1.77635683940025e-15,True
wv_m_s,rms_squared,1.77635683940025e-14,True
wv_m_s,crest_factor,8.88178419700125e-16,True
Tlog_degC,iqr,7.105427357601e-15,True
Tlog_degC,peak_to_peak,3.5527136788005e-15,True
Tlog_degC,rms_squared,6.82121026329696e-13,True
Tlog_degC,crest_factor,4.44089209850063e-16,True
rho_g_m_3,iqr,4.54747350886464e-13,True
rho_g_m_3,peak_to_peak,1.4210854715202e-14,True
rho_g_m_3,rms_squared,1.62981450557709e-09,True
rho_g_m_3,crest_factor,4.44089209850063e-16,True
