pair,mean,std,min,max,range,valid_ratio,interpretation
H2OC / sh_g,0.999950074789785,0.000106103768748814,0.998831031115733,0.999998397408131,0.00116736629239844,1,最稳定的相关关系，全部分段接近1
H2OC / VPact,0.99955658355075,0.00103660661362161,0.991918139689894,0.99999449693802,0.00807635724812639,1,稳定强正相关，跨分段变化很小
VPact / sh_g,0.999532018601519,0.00107775473585465,0.991873370923635,0.999993917608808,0.00812054668517281,1,稳定强正相关，跨分段变化很小
Tdew / VPact,0.998887090398098,0.00110017712470702,0.99156669480044,0.999898216086911,0.00833152128647041,1,稳定强正相关，跨分段变化很小
Tdew / H2OC,0.998444239819758,0.00141211115926582,0.990228586860912,0.999809859553474,0.00958127269256115,1,稳定强正相关，跨分段变化很小
Tdew / sh_g,0.998404009941161,0.00143487835695035,0.990175786862081,0.999795163496149,0.0096193766340682,1,稳定强正相关，跨分段变化很小
VPmax / T_degC,0.99723496754211,0.00222523838513818,0.9847208831101,0.999855593573424,0.0151347104633243,1,稳定强正相关，跨分段变化很小
SWDR / PAR,0.999063102019887,0.00245912759897435,0.970919317814676,0.999915583484842,0.028996265670166,1,稳定强正相关，跨分段变化很小
VPdef / rh,-0.976689314345018,0.0283555354081513,-0.999808624237203,-0.720428198506977,0.279380425730227,1,整体强负相关，但部分分段相关程度减弱
T_degC / rho,-0.935049566512173,0.152686404640465,-0.999750206199052,0.670441361134521,1.67019156733357,1,平均强负相关，但局部大幅波动并出现正相关
