,H2OC,sh_g,VPact,Tdew,SWDR,PAR,max_PAR,T_degC,Tpot_K,Tlog,wv,max_wv,rh,VPdef,rho
H2OC,1,0.999998417897115,0.999818069271014,0.980280551066946,0.204948084382255,0.230501720656711,0.259640508233046,0.836327491569224,0.842631269568198,0.818956924059531,-0.184782863163853,-0.194541160767456,0.0872115581903465,0.372371936664503,-0.834336252295699
sh_g,0.999998417897115,1,0.999817260385327,0.979948014727667,0.20479258990582,0.23033474105902,0.259430688235928,0.835988180166157,0.842277872661837,0.818654194266454,-0.184799694038597,-0.194556320739153,0.087251216852563,0.372105772618941,-0.833957673111154
VPact,0.999818069271014,0.999817260385327,1,0.980392464510635,0.208635245630378,0.234109512844089,0.26258730404338,0.837864489078206,0.842254289614297,0.821145073657493,-0.190990160543443,-0.200543512722726,0.0847655660377301,0.375207408335736,-0.82970079202812
Tdew,0.980280551066946,0.979948014727667,0.980392464510635,1,0.209654123695959,0.236233436059048,0.268996186855495,0.853714165400052,0.859905164511345,0.832624594273423,-0.185336140699023,-0.195226170271721,0.0923684317067808,0.386815551518843,-0.851896965928169
SWDR,0.204948084382255,0.20479258990582,0.208635245630378,0.209654123695959,1,0.999291283381507,0.977092227061674,0.608718249579321,0.5836496066122,0.643344319873022,-0.0640921471358668,-0.0302813041620132,-0.779041170257932,0.805493091631011,-0.483266450517716
PAR,0.230501720656711,0.23033474105902,0.234109512844089,0.236233436059048,0.999291283381507,1,0.97994673279719,0.629134506316159,0.604832035555913,0.662670418095332,-0.0671536940913006,-0.0328221780997023,-0.772373957100954,0.814485840322225,-0.505629814256203
max_PAR,0.259640508233046,0.259430688235928,0.26258730404338,0.268996186855495,0.977092227061674,0.97994673279719,1,0.642292568977338,0.621748327796158,0.670054277747477,-0.0313621619246317,0.0101184503118589,-0.751591387763983,0.797725739854844,-0.531247361472139
T_degC,0.836327491569224,0.835988180166157,0.837864489078206,0.853714165400052,0.608718249579321,0.629134506316159,0.642292568977338,1,0.994313068069932,0.987846967957339,-0.0824612867991756,-0.0717864131455725,-0.433946071844307,0.786124788966301,-0.937529930674357
Tpot_K,0.842631269568198,0.842277872661837,0.842254289614297,0.859905164511345,0.5836496066122,0.604832035555913,0.621748327796158,0.994313068069932,1,0.977694136108047,-0.0492088681409871,-0.0392985257751695,-0.414047605056917,0.769312027848915,-0.969016142317668
Tlog,0.818956924059531,0.818654194266454,0.821145073657493,0.832624594273423,0.643344319873022,0.662670418095332,0.670054277747477,0.987846967957339,0.977694136108047,1,-0.189739605813396,-0.17597082595343,-0.441086733200698,0.796359526430755,-0.910166531038779
wv,-0.184782863163853,-0.184799694038597,-0.190990160543443,-0.185336140699023,-0.0640921471358668,-0.0671536940913006,-0.0313621619246317,-0.0824612867991756,-0.0492088681409871,-0.189739605813396,1,0.985515769355477,-0.220332549982223,-0.00131918563683282,-0.0227446522186223
max_wv,-0.194541160767456,-0.194556320739153,-0.200543512722726,-0.195226170271721,-0.0302813041620132,-0.0328221780997023,0.0101184503118589,-0.0717864131455725,-0.0392985257751695,-0.17597082595343,0.985515769355477,1,-0.260033709179816,0.0265518669038641,-0.0295794561657559
rh,0.0872115581903465,0.087251216852563,0.0847655660377301,0.0923684317067808,-0.779041170257932,-0.772373957100954,-0.751591387763983,-0.433946071844307,-0.414047605056917,-0.441086733200698,-0.220332549982223,-0.260033709179816,1,-0.802612226137303,0.324588146955859
VPdef,0.372371936664503,0.372105772618941,0.375207408335736,0.386815551518843,0.805493091631011,0.814485840322225,0.797725739854844,0.786124788966301,0.769312027848915,0.796359526430755,-0.00131918563683282,0.0265518669038641,-0.802612226137303,1,-0.675544476617609
rho,-0.834336252295699,-0.833957673111154,-0.82970079202812,-0.851896965928169,-0.483266450517716,-0.505629814256203,-0.531247361472139,-0.937529930674357,-0.969016142317668,-0.910166531038779,-0.0227446522186223,-0.0295794561657559,0.324588146955859,-0.675544476617609,1
