group,pair,mean,median,rms,q25,q75,std,peak_to_peak
humidity,H2OC_mmol_mol / sh_g_kg,0.999998417897115,0.999997743013183,0.99999843258969,0.99999742237743,0.999997856655953,0.999986031987248,0.999978981078189
humidity,H2OC_mmol_mol / VPact_mbar,0.999818069271014,0.999820404268234,0.999815963518083,0.999829584122474,0.999799140213985,0.999544031156921,0.999521972838404
humidity,H2OC_mmol_mol / Tdew_degC,0.980280551066946,0.979263796390116,0.938736503443995,0.977862493135616,0.982020742318156,0.747253444765617,0.704331893337991
humidity,sh_g_kg / VPact_mbar,0.999817260385327,0.999818536953817,0.999815181191358,0.999827432577945,0.999797306532946,0.999546418194197,0.999516618554921
humidity,sh_g_kg / Tdew_degC,0.979948014727667,0.978902262220903,0.938880378772746,0.977480329855002,0.981695633372967,0.744128574256838,0.701178787130561
humidity,VPact_mbar / Tdew_degC,0.980392464510635,0.979411303015511,0.939248507269851,0.978005383073971,0.982203477318298,0.747003521865913,0.703534087321465
radiation,SWDR_W_m / PAR_mol_m_s,0.999291283381507,0.999292510387553,0.999049482730768,0.981462580814865,0.999125504658457,0.998810628540624,0.997149236424984
radiation,SWDR_W_m / max_PAR_mol_m_s,0.977092227061674,0.992380998978311,0.966626604361706,0.970957103398175,0.970328390061277,0.956029563790996,0.947115723372851
radiation,PAR_mol_m_s / max_PAR_mol_m_s,0.97994673279719,0.993894618737984,0.970112818661373,0.998076043607613,0.973741299585639,0.959969956057371,0.952978711814955
temperature,T_degC / Tpot_K,0.994313068069932,0.994342555644202,0.985786068608735,0.99333467401207,0.995323243924823,0.997914773314281,0.99744223639946
temperature,T_degC / Tlog_degC,0.987846967957339,0.988788338204557,0.988938236244737,0.985278572426061,0.986181369084341,0.961645296680836,0.94603808459204
temperature,Tpot_K / Tlog_degC,0.977694136108047,0.979793812103314,0.974498980116706,0.974518493168237,0.977570374806186,0.957144772599419,0.941273507522879
wind,wv_m_s / max_wv_m_s,0.985515769355477,0.982744755132671,0.984121477709471,0.980159694561533,0.979098588845433,0.961144143833916,0.940145332763887
