sensor,location_min_r,location_max_r,location_pairs_gt095,mean_median,mean_rms,std_peak_to_peak
SWDR_W_m,0.392257702774638,0.988884030316087,3,0.862757685333386,0.988884030316087,0.919673588860866
Tdew_degC,0.870513652871838,0.997863971668373,6,0.997863971668373,0.885792349513323,0.888079784308121
H2OC_mmol_mol,0.975549854956214,0.999920452303211,10,0.997974035599698,0.999920452303211,0.911385507594872
VPact_mbar,0.975704833711237,0.999921777782145,10,0.997986545618023,0.999921777782145,0.911381516586674
OT,0.442557443013436,0.999649355504635,1,0.935342380473311,0.999649355504635,0.960633540617356
VPmax_mbar,0.93629705606735,0.999383968982276,9,0.994122500614915,0.999383968982276,0.987116160533992
max_PAR_mol_m_s,0.453176060039015,0.986716434339088,3,0.864755283429132,0.986716434339088,0.919520562164825
PAR_mol_m_s,0.443946108411483,0.989396482871662,3,0.8719132881598,0.989396482871662,0.92355203155466
raining_s,0.268512797815729,0.929654500949655,0,0.742806730669306,0.929654500949655,0.820554138000502
T_degC,0.943854581183988,0.99560845508323,9,0.99560845508323,0.994820374590982,0.974064019677067
wd_deg,0.542323719655656,0.963741215129053,1,0.947990426488724,0.963741215129053,0.823997287755404
rain_mm,0.154040724033504,0.869018202802723,0,0.703921029976279,0.841880100924639,0.95952616243117
VPdef_mbar,0.864057876779915,0.994674019572956,6,0.983718330762857,0.994674019572956,0.988129231469895
max_wv_m_s,0.891015541615275,0.995605879042839,8,0.989086832565863,0.995605879042839,0.922494555475337
sh_g_kg,0.975540538976885,0.999919948352113,10,0.997967852574817,0.999919948352113,0.911713282207313
rh,0.844768802722573,0.998764571359662,7,0.987480531109296,0.998764571359662,0.958194612568699
Tpot_K,0.943184293183619,0.999998114460053,9,0.995767718235484,0.999998114460053,0.973353521518744
p_mbar,0.965034737161483,0.999999885385768,10,0.997384717547741,0.999999885385768,0.977547695042795
wv_m_s,0.89805656294828,0.994837382389824,8,0.98842562193172,0.994837382389824,0.924982728242481
Tlog_degC,0.939032482095483,0.99959831035405,9,0.993581925035266,0.99959831035405,0.974602893827209
rho_g_m_3,0.952465971213859,0.999998314955109,10,0.996375055983916,0.999998314955109,0.963037619466929
