algorithm,k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,aic,bic,pca_components,unique_clusters,is_selected,selection_reason
KMeans,2,0.1616704682021637,57.52024485444978,2.0584449788175827,,,64,2,True,"Highest silhouette was 0.161670. Results within 0.010000 were treated as very close (1 candidate(s)); among them, higher Calinski-Harabasz and then lower Davies-Bouldin were used as tie-breakers. Selected KMeans with K=2: silhouette=0.161670, CH=57.520245, DB=2.058445."
GMM,2,0.07301432162065845,10.569343827917313,4.921583846812189,70694.72033085852,71616.64323606738,64,2,False,
KMeans,3,0.0996679638098114,40.16562241697566,2.2317275482343137,,,64,3,False,
GMM,3,0.014299478814017294,10.546043007309914,4.788741533987507,70464.58919679835,71849.26717894085,64,3,False,
KMeans,4,0.09396779224565338,33.05952591405316,2.576691582738706,,,64,4,False,
GMM,4,-0.030362413829500935,8.828674574463674,5.202280777910701,70430.54715026621,72277.98020934234,64,4,False,
KMeans,5,0.09273812598604608,28.75331788128293,2.516989448585806,,,64,5,False,
GMM,5,-0.011397824900573868,14.475180494776007,3.7744646197194114,70468.62240466103,72778.81054067079,64,5,False,
KMeans,6,0.08920057316135298,25.69331656459123,2.497141353558064,,,64,6,False,
GMM,6,-0.01267133728985652,8.868547922165659,3.878072332855488,69676.35837295148,72449.30158589488,64,6,False,
KMeans,7,0.07795975217173759,23.03310020469921,2.515618122648683,,,64,7,False,
GMM,7,-0.007737648991480558,13.145407375111171,3.0129793806574092,70522.79896063852,73758.49725051555,64,7,False,
KMeans,8,0.0760092096782974,21.157065888579353,2.567428287669889,,,64,8,False,
GMM,8,0.04269444057876637,14.773431358564537,3.3650117936002895,70603.77046923072,74302.22383604138,64,8,False,
KMeans,9,0.07047436440009835,19.422463824751357,2.561327192711141,,,64,9,False,
GMM,9,0.02795782406776412,15.525331114626315,3.217433829111927,69801.83215690269,73963.04060064699,64,9,False,
KMeans,10,0.05906904148511408,17.811851350828153,2.600520790830861,,,64,10,False,
GMM,10,0.016940317371450964,13.171045054606887,2.9543445771138286,70699.98051043852,75323.94403111644,64,10,False,
