method,segment_number,start_index,end_index_exclusive,end_index_inclusive,start_time,end_time,length_samples,length_hours,cluster,operation_id,pca_1,pca_2
PELT,1,0,294,293,2020-01-01 00:10:00,2020-01-03 01:00:00,294,49.0,0,OP_001,-12.077953539216022,11.709932871665888
PELT,2,294,438,437,2020-01-03 01:10:00,2020-01-04 01:00:00,144,24.0,0,OP_001,-12.814418035570249,1.9571791881397418
PELT,3,438,582,581,2020-01-04 01:10:00,2020-01-05 01:00:00,144,24.0,0,OP_001,-14.71721741658194,-1.4204899643274658
PELT,4,582,738,737,2020-01-05 01:10:00,2020-01-06 03:00:00,156,26.0,0,OP_001,-13.387093312447153,0.12708666542048516
PELT,5,738,1056,1055,2020-01-06 03:10:00,2020-01-08 08:00:00,318,53.0,0,OP_001,-14.456880164126117,4.149391406089331
PELT,6,1056,1218,1217,2020-01-08 08:10:00,2020-01-09 11:00:00,162,27.0,0,OP_001,-17.774842962468945,-10.165980796812937
PELT,7,1218,1422,1421,2020-01-09 11:10:00,2020-01-10 21:00:00,204,34.0,0,OP_001,-12.52955453490343,-9.42238498979944
PELT,8,1422,1644,1643,2020-01-10 21:10:00,2020-01-12 10:00:00,222,37.0,0,OP_001,-11.648589863543938,4.777358833942419
PELT,9,1644,1932,1931,2020-01-12 10:10:00,2020-01-14 10:00:00,288,48.0,0,OP_001,-14.429376509726827,-3.345063319275496
PELT,10,1932,2172,2171,2020-01-14 10:10:00,2020-01-16 02:00:00,240,40.0,0,OP_001,-7.250287563553897,1.5154211513892983
PELT,11,2172,2316,2315,2020-01-16 02:10:00,2020-01-17 02:00:00,144,24.0,0,OP_001,-6.400051180396784,5.298328377592822
PELT,12,2316,2562,2561,2020-01-17 02:10:00,2020-01-18 19:00:00,246,41.0,0,OP_001,-9.277765640774218,2.907091871931695
PELT,13,2562,2724,2723,2020-01-18 19:10:00,2020-01-19 22:00:00,162,27.0,0,OP_001,-15.156297854413182,1.8748728224392823
PELT,14,2724,2868,2867,2020-01-19 22:10:00,2020-01-20 22:00:00,144,24.0,0,OP_001,-12.445874690016794,1.4218163404336102
PELT,15,2868,3096,3095,2020-01-20 22:10:00,2020-01-22 12:00:00,228,38.0,0,OP_001,-14.416214854213269,12.849802593305162
PELT,16,3096,3294,3293,2020-01-22 12:10:00,2020-01-23 21:00:00,198,33.0,0,OP_001,-9.256842578035524,4.443489998374646
