algorithm,k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,aic,bic,pca_components,unique_clusters,is_selected,selection_reason
KMeans,2,0.1561237151662909,54.90115936376636,2.0741034708884527,,,63,2,True,"Highest silhouette was 0.156124. Results within 0.010000 were treated as very close (1 candidate(s)); among them, higher Calinski-Harabasz and then lower Davies-Bouldin were used as tie-breakers. Selected KMeans with K=2: silhouette=0.156124, CH=54.901159, DB=2.074103."
GMM,2,0.1020724583622443,16.894451533621147,3.757674517475905,68262.68453397,69164.50819702263,63,2,False,
KMeans,3,0.09583119841848256,38.73961484231207,2.152818342026263,,,63,3,False,
GMM,3,0.030070459244547054,13.589676682555249,4.099219528283705,68135.10251155999,69489.62026634261,63,3,False,
KMeans,4,0.09172871091930124,31.963126309643894,2.541698464411713,,,63,4,False,
GMM,4,0.02963610892550175,17.97780591887718,3.4305214037756753,68056.36894889991,69863.58079541252,63,4,False,
KMeans,5,0.09544662521759334,27.403438938389506,2.4875092685921305,,,63,5,False,
GMM,5,0.025386004368949187,17.579803253447807,3.3355772114176596,68105.25033428884,70365.15627253143,63,5,False,
KMeans,6,0.09446678538179187,24.048858193352675,2.406470295375535,,,63,6,False,
GMM,6,0.03676335228639821,16.377441226464786,3.288366919416008,68109.9802662759,70822.58029624847,63,6,False,
KMeans,7,0.09432242000428138,21.675361122436836,2.3356801051077842,,,63,7,False,
GMM,7,0.02558860833729209,15.78796666256735,3.2462157372338565,68121.57397314956,71286.8680948521,63,7,False,
KMeans,8,0.07970671477511414,20.028804231685797,2.539781398232168,,,63,8,False,
GMM,8,0.03866608976823772,15.386119104602116,3.211981295720331,68243.52447167446,71861.512685107,63,8,False,
KMeans,9,0.06295063073938857,18.583035469796883,2.541843719601564,,,63,9,False,
GMM,9,0.045350776270205374,15.087286847201366,2.7011228003261802,68261.8730202516,72332.55532541411,63,9,False,
KMeans,10,0.07679788129909525,17.386457866553535,2.3212406665398078,,,63,10,False,
GMM,10,0.033971368724137765,13.388547136420458,3.0298795294685714,68209.81465059331,72733.19104748582,63,10,False,
