method,segment_number,start_index,end_index_exclusive,end_index_inclusive,start_time,end_time,length_samples,length_hours,cluster,operation_id
SlidingWindowSymmetricKL,1,0,192,191,2020-01-01 00:10:00,2020-01-02 08:00:00,192,32.0,1,OP_002
SlidingWindowSymmetricKL,2,192,372,371,2020-01-02 08:10:00,2020-01-03 14:00:00,180,30.0,1,OP_002
SlidingWindowSymmetricKL,3,372,552,551,2020-01-03 14:10:00,2020-01-04 20:00:00,180,30.0,1,OP_002
SlidingWindowSymmetricKL,4,552,917,916,2020-01-04 20:10:00,2020-01-07 08:50:00,365,60.833333333333336,1,OP_002
SlidingWindowSymmetricKL,5,917,1133,1132,2020-01-07 09:00:00,2020-01-08 20:50:00,216,36.0,1,OP_002
SlidingWindowSymmetricKL,6,1133,1330,1329,2020-01-08 21:00:00,2020-01-10 05:40:00,197,32.833333333333336,1,OP_002
SlidingWindowSymmetricKL,7,1330,1489,1488,2020-01-10 05:50:00,2020-01-11 08:10:00,159,26.5,1,OP_002
SlidingWindowSymmetricKL,8,1489,1633,1632,2020-01-11 08:20:00,2020-01-12 08:10:00,144,24.0,1,OP_002
SlidingWindowSymmetricKL,9,1633,1779,1778,2020-01-12 08:20:00,2020-01-13 08:30:00,146,24.33333333333333,1,OP_002
SlidingWindowSymmetricKL,10,1779,1924,1923,2020-01-13 08:40:00,2020-01-14 08:40:00,145,24.166666666666668,1,OP_002
SlidingWindowSymmetricKL,11,1924,2209,2208,2020-01-14 08:50:00,2020-01-16 08:10:00,285,47.5,1,OP_002
SlidingWindowSymmetricKL,12,2209,2353,2352,2020-01-16 08:20:00,2020-01-17 08:10:00,144,24.0,1,OP_002
SlidingWindowSymmetricKL,13,2353,2625,2624,2020-01-17 08:20:00,2020-01-19 05:30:00,272,45.333333333333336,1,OP_002
SlidingWindowSymmetricKL,14,2625,2928,2927,2020-01-19 05:40:00,2020-01-21 08:00:00,303,50.5,1,OP_002
SlidingWindowSymmetricKL,15,2928,3123,3122,2020-01-21 08:10:00,2020-01-22 16:30:00,195,32.5,1,OP_002
SlidingWindowSymmetricKL,16,3123,3360,3359,2020-01-22 16:40:00,2020-01-24 08:00:00,237,39.5,1,OP_002
SlidingWindowSymmetricKL,17,3360,3559,3558,2020-01-24 08:10:00,2020-01-25 17:10:00,199,33.166666666666664,1,OP_002
SlidingWindowSymmetricKL,18,3559,3741,3740,2020-01-25 17:20:00,2020-01-26 23:30:00,182,30.33333333333333,1,OP_002
SlidingWindowSymmetricKL,19,3741,3900,3899,2020-01-26 23:40:00,2020-01-28 02:00:00,159,26.5,1,OP_002
SlidingWindowSymmetricKL,20,3900,4224,4223,2020-01-28 02:10:00,2020-01-30 08:00:00,324,54.0,1,OP_002
SlidingWindowSymmetricKL,21,4224,4368,4367,2020-01-30 08:10:00,2020-01-31 08:00:00,144,24.0,1,OP_002
SlidingWindowSymmetricKL,22,4368,4512,4511,2020-01-31 08:10:00,2020-02-01 08:00:00,144,24.0,1,OP_002
SlidingWindowSymmetricKL,23,4512,4677,4676,2020-02-01 08:10:00,2020-02-02 11:30:00,165,27.5,1,OP_002
SlidingWindowSymmetricKL,24,4677,4890,4889,2020-02-02 11:40:00,2020-02-03 23:00:00,213,35.5,1,OP_002
SlidingWindowSymmetricKL,25,4890,5145,5144,2020-02-03 23:10:00,2020-02-05 17:30:00,255,42.5,1,OP_002
SlidingWindowSymmetricKL,26,5145,5518,5517,2020-02-05 17:40:00,2020-02-08 07:40:00,373,62.16666666666666,1,OP_002
SlidingWindowSymmetricKL,27,5518,5778,5777,2020-02-08 07:50:00,2020-02-10 03:00:00,260,43.333333333333336,1,OP_002
SlidingWindowSymmetricKL,28,5778,5933,5932,2020-02-10 03:10:00,2020-02-11 04:50:00,155,25.83333333333333,1,OP_002
SlidingWindowSymmetricKL,29,5933,6093,6092,2020-02-11 05:00:00,2020-02-12 07:30:00,160,26.666666666666668,1,OP_002
SlidingWindowSymmetricKL,30,6093,6369,6368,2020-02-12 07:40:00,2020-02-14 05:30:00,276,46.0,1,OP_002
SlidingWindowSymmetricKL,31,6369,6586,6585,2020-02-14 05:40:00,2020-02-15 17:40:00,217,36.16666666666666,1,OP_002
SlidingWindowSymmetricKL,32,6586,6800,6799,2020-02-15 17:50:00,2020-02-17 05:20:00,214,35.666666666666664,1,OP_002
SlidingWindowSymmetricKL,33,6800,6955,6954,2020-02-17 05:30:00,2020-02-18 07:10:00,155,25.83333333333333,1,OP_002
SlidingWindowSymmetricKL,34,6955,7134,7133,2020-02-18 07:20:00,2020-02-19 13:00:00,179,29.83333333333333,1,OP_002
SlidingWindowSymmetricKL,35,7134,7371,7370,2020-02-19 13:10:00,2020-02-21 04:30:00,237,39.5,1,OP_002
SlidingWindowSymmetricKL,36,7371,7529,7528,2020-02-21 04:40:00,2020-02-22 06:50:00,158,26.33333333333333,1,OP_002
SlidingWindowSymmetricKL,37,7529,7763,7762,2020-02-22 07:00:00,2020-02-23 21:50:00,234,39.0,1,OP_002
SlidingWindowSymmetricKL,38,7763,8056,8055,2020-02-23 22:00:00,2020-02-25 22:40:00,293,48.833333333333336,1,OP_002
SlidingWindowSymmetricKL,39,8056,8309,8308,2020-02-25 22:50:00,2020-02-27 16:50:00,253,42.16666666666666,1,OP_002
SlidingWindowSymmetricKL,40,8309,8489,8488,2020-02-27 17:00:00,2020-02-28 22:50:00,180,30.0,1,OP_002
SlidingWindowSymmetricKL,41,8489,8635,8634,2020-02-28 23:00:00,2020-02-29 23:10:00,146,24.33333333333333,1,OP_002
SlidingWindowSymmetricKL,42,8635,8826,8825,2020-02-29 23:20:00,2020-03-02 07:00:00,191,31.83333333333333,1,OP_002
SlidingWindowSymmetricKL,43,8826,8996,8995,2020-03-02 07:10:00,2020-03-03 11:20:00,170,28.33333333333333,1,OP_002
SlidingWindowSymmetricKL,44,8996,9181,9180,2020-03-03 11:30:00,2020-03-04 18:10:00,185,30.83333333333333,1,OP_002
