method,segment_number,start_index,end_index_exclusive,end_index_inclusive,start_time,end_time,length_samples,length_hours
PELT,1,0,294,293,2020-01-01 00:10:00,2020-01-03 01:00:00,294,49.0
PELT,2,294,438,437,2020-01-03 01:10:00,2020-01-04 01:00:00,144,24.0
PELT,3,438,582,581,2020-01-04 01:10:00,2020-01-05 01:00:00,144,24.0
PELT,4,582,738,737,2020-01-05 01:10:00,2020-01-06 03:00:00,156,26.0
PELT,5,738,1056,1055,2020-01-06 03:10:00,2020-01-08 08:00:00,318,53.0
PELT,6,1056,1218,1217,2020-01-08 08:10:00,2020-01-09 11:00:00,162,27.0
PELT,7,1218,1422,1421,2020-01-09 11:10:00,2020-01-10 21:00:00,204,34.0
PELT,8,1422,1644,1643,2020-01-10 21:10:00,2020-01-12 10:00:00,222,37.0
PELT,9,1644,1932,1931,2020-01-12 10:10:00,2020-01-14 10:00:00,288,48.0
PELT,10,1932,2172,2171,2020-01-14 10:10:00,2020-01-16 02:00:00,240,40.0
PELT,11,2172,2316,2315,2020-01-16 02:10:00,2020-01-17 02:00:00,144,24.0
PELT,12,2316,2562,2561,2020-01-17 02:10:00,2020-01-18 19:00:00,246,41.0
PELT,13,2562,2724,2723,2020-01-18 19:10:00,2020-01-19 22:00:00,162,27.0
PELT,14,2724,2868,2867,2020-01-19 22:10:00,2020-01-20 22:00:00,144,24.0
PELT,15,2868,3096,3095,2020-01-20 22:10:00,2020-01-22 12:00:00,228,38.0
PELT,16,3096,3294,3293,2020-01-22 12:10:00,2020-01-23 21:00:00,198,33.0
PELT,17,3294,3666,3665,2020-01-23 21:10:00,2020-01-26 11:00:00,372,62.0
PELT,18,3666,3810,3809,2020-01-26 11:10:00,2020-01-27 11:00:00,144,24.0
PELT,19,3810,3984,3983,2020-01-27 11:10:00,2020-01-28 16:00:00,174,29.0
PELT,20,3984,4194,4193,2020-01-28 16:10:00,2020-01-30 03:00:00,210,35.0
PELT,21,4194,4338,4337,2020-01-30 03:10:00,2020-01-31 03:00:00,144,24.0
PELT,22,4338,4548,4547,2020-01-31 03:10:00,2020-02-01 14:00:00,210,35.0
PELT,23,4548,4722,4721,2020-02-01 14:10:00,2020-02-02 19:00:00,174,29.0
PELT,24,4722,4890,4889,2020-02-02 19:10:00,2020-02-03 23:00:00,168,28.0
PELT,25,4890,5046,5045,2020-02-03 23:10:00,2020-02-05 01:00:00,156,26.0
PELT,26,5046,5532,5531,2020-02-05 01:10:00,2020-02-08 10:00:00,486,81.0
PELT,27,5532,5682,5681,2020-02-08 10:10:00,2020-02-09 11:00:00,150,25.0
PELT,28,5682,5826,5825,2020-02-09 11:10:00,2020-02-10 11:00:00,144,24.0
PELT,29,5826,6006,6005,2020-02-10 11:10:00,2020-02-11 17:00:00,180,30.0
PELT,30,6006,6156,6155,2020-02-11 17:10:00,2020-02-12 18:00:00,150,25.0
PELT,31,6156,6384,6383,2020-02-12 18:10:00,2020-02-14 08:00:00,228,38.0
PELT,32,6384,6636,6635,2020-02-14 08:10:00,2020-02-16 02:00:00,252,42.0
PELT,33,6636,6780,6779,2020-02-16 02:10:00,2020-02-17 02:00:00,144,24.0
PELT,34,6780,6960,6959,2020-02-17 02:10:00,2020-02-18 08:00:00,180,30.0
PELT,35,6960,7110,7109,2020-02-18 08:10:00,2020-02-19 09:00:00,150,25.0
PELT,36,7110,7254,7253,2020-02-19 09:10:00,2020-02-20 09:00:00,144,24.0
PELT,37,7254,7398,7397,2020-02-20 09:10:00,2020-02-21 09:00:00,144,24.0
PELT,38,7398,7542,7541,2020-02-21 09:10:00,2020-02-22 09:00:00,144,24.0
PELT,39,7542,7752,7751,2020-02-22 09:10:00,2020-02-23 20:00:00,210,35.0
PELT,40,7752,7896,7895,2020-02-23 20:10:00,2020-02-24 20:00:00,144,24.0
PELT,41,7896,8040,8039,2020-02-24 20:10:00,2020-02-25 20:00:00,144,24.0
PELT,42,8040,8376,8375,2020-02-25 20:10:00,2020-02-28 04:00:00,336,56.0
PELT,43,8376,8556,8555,2020-02-28 04:10:00,2020-02-29 10:00:00,180,30.0
PELT,44,8556,8742,8741,2020-02-29 10:10:00,2020-03-01 17:00:00,186,31.0
PELT,45,8742,8886,8885,2020-03-01 17:10:00,2020-03-02 17:00:00,144,24.0
PELT,46,8886,9036,9035,2020-03-02 17:10:00,2020-03-03 18:00:00,150,25.0
PELT,47,9036,9276,9275,2020-03-03 18:10:00,2020-03-05 10:00:00,240,40.0
PELT,48,9276,9456,9455,2020-03-05 10:10:00,2020-03-06 16:00:00,180,30.0
PELT,49,9456,9600,9599,2020-03-06 16:10:00,2020-03-07 16:00:00,144,24.0
PELT,50,9600,9750,9749,2020-03-07 16:10:00,2020-03-08 17:00:00,150,25.0
PELT,51,9750,9960,9959,2020-03-08 17:10:00,2020-03-10 04:00:00,210,35.0
PELT,52,9960,10104,10103,2020-03-10 04:10:00,2020-03-11 04:00:00,144,24.0
PELT,53,10104,10248,10247,2020-03-11 04:10:00,2020-03-12 04:00:00,144,24.0
PELT,54,10248,10482,10481,2020-03-12 04:10:00,2020-03-13 19:00:00,234,39.0
PELT,55,10482,10710,10709,2020-03-13 19:10:00,2020-03-15 09:00:00,228,38.0
PELT,56,10710,10920,10919,2020-03-15 09:10:00,2020-03-16 20:00:00,210,35.0
PELT,57,10920,11148,11147,2020-03-16 20:10:00,2020-03-18 10:00:00,228,38.0
PELT,58,11148,11304,11303,2020-03-18 10:10:00,2020-03-19 12:00:00,156,26.0
PELT,59,11304,11448,11447,2020-03-19 12:10:00,2020-03-20 12:00:00,144,24.0
PELT,60,11448,11592,11591,2020-03-20 12:10:00,2020-03-21 12:00:00,144,24.0
PELT,61,11592,11784,11783,2020-03-21 12:10:00,2020-03-22 20:00:00,192,32.0
PELT,62,11784,12156,12155,2020-03-22 20:10:00,2020-03-25 10:00:00,372,62.0
PELT,63,12156,12300,12299,2020-03-25 10:10:00,2020-03-26 10:00:00,144,24.0
PELT,64,12300,12510,12509,2020-03-26 10:10:00,2020-03-27 21:00:00,210,35.0
PELT,65,12510,12678,12677,2020-03-27 21:10:00,2020-03-29 01:00:00,168,28.0
PELT,66,12678,12822,12821,2020-03-29 01:10:00,2020-03-30 01:00:00,144,24.0
PELT,67,12822,12966,12965,2020-03-30 01:10:00,2020-03-31 01:00:00,144,24.0
PELT,68,12966,13152,13151,2020-03-31 01:10:00,2020-04-01 08:00:00,186,31.0
PELT,69,13152,13350,13349,2020-04-01 08:10:00,2020-04-02 17:00:00,198,33.0
PELT,70,13350,13572,13571,2020-04-02 17:10:00,2020-04-04 06:00:00,222,37.0
PELT,71,13572,13734,13733,2020-04-04 06:10:00,2020-04-05 09:00:00,162,27.0
